date,open,close,high,low,volume
2015-03-13,0.288,0.286,0.288,0.286,2033914.0
2015-03-16,0.286,0.285,0.286,0.284,506968.0
2015-03-17,0.288,0.288,0.288,0.287,727234.0
2015-03-18,0.289,0.288,0.289,0.288,2118867.0
2015-03-19,0.29,0.291,0.292,0.289,1222323.0
2015-03-20,0.292,0.291,0.292,0.29,2803842.0
2015-03-23,0.292,0.292,0.293,0.292,2220670.0
2015-03-24,0.291,0.292,0.292,0.291,6556156.0
2015-03-25,0.291,0.292,0.293,0.29,2262187.0
2015-03-26,0.287,0.288,0.288,0.285,332748.0
2015-03-27,0.287,0.288,0.288,0.284,221261.0
2015-03-30,0.288,0.286,0.288,0.285,2180187.0
2015-03-31,0.289,0.287,0.289,0.287,645669.0
2015-04-01,0.285,0.283,0.285,0.283,570117.0
2015-04-02,0.282,0.282,0.283,0.282,1007577.0
2015-04-03,0.283,0.283,0.283,0.282,1542798.0
2015-04-07,0.285,0.284,0.285,0.283,1753758.0
2015-04-08,0.284,0.283,0.284,0.282,1674063.0
2015-04-09,0.283,0.284,0.284,0.283,813342.0
2015-04-10,0.285,0.286,0.286,0.285,1001054.0
2015-04-13,0.287,0.286,0.287,0.286,954902.0
2015-04-14,0.286,0.285,0.287,0.285,704485.0
2015-04-15,0.285,0.286,0.286,0.285,430115.0
2015-04-16,0.287,0.288,0.288,0.287,354527.0
2015-04-17,0.288,0.288,0.288,0.286,362377.0
2015-04-20,0.284,0.283,0.284,0.282,689840.0
2015-04-21,0.286,0.286,0.287,0.286,724519.0
2015-04-22,0.286,0.287,0.288,0.286,849811.0
2015-04-23,0.288,0.288,0.288,0.288,470916.0
2015-04-24,0.289,0.292,0.292,0.289,834039.0
2015-04-27,0.294,0.295,0.296,0.294,871685.0
2015-04-28,0.295,0.293,0.295,0.293,677822.0
2015-04-29,0.293,0.293,0.294,0.292,1069001.0
2015-04-30,0.292,0.292,0.292,0.291,794766.0
2015-05-04,0.292,0.291,0.292,0.291,630421.0
2015-05-05,0.292,0.291,0.292,0.291,479529.0
2015-05-06,0.289,0.287,0.289,0.286,687257.0
2015-05-07,0.286,0.287,0.287,0.284,935145.0
2015-05-08,0.288,0.29,0.29,0.287,570436.0
2015-05-11,0.292,0.291,0.292,0.291,556032.0
2015-05-12,0.291,0.291,0.291,0.289,582815.0
2015-05-13,0.29,0.29,0.29,0.288,396001.0
2015-05-14,0.289,0.291,0.291,0.289,781704.0
2015-05-15,0.294,0.293,0.296,0.293,609142.0
2015-05-18,0.293,0.292,0.293,0.292,1303488.0
2015-05-19,0.294,0.292,0.294,0.292,716347.0
2015-05-20,0.292,0.291,0.292,0.291,1131778.0
