date,benchmark_hs300,global_60_40,classic_all_weather,dynamic_risk_parity,smart_all_weather
2015-01-05,1029608.0163419845,1014687.5595419847,1016227.7300619846,1016227.7300619846,1016227.7300619846
2015-01-06,1020700.5365631743,1008773.4027192469,1013746.087099314,1013746.087099314,1013746.087099314
2015-01-07,1020344.2567859533,1007275.0459234777,1013263.544164701,1013263.544164701,1013263.544164701
2015-01-08,991840.2770103214,1000495.5891546792,1003215.5012581481,1003215.5012581481,1003215.5012581481
2015-01-09,982576.4972362788,1002167.1324128537,1003247.8583796574,1003247.8583796574,1003247.8583796574
2015-01-12,978657.2174638257,993931.1756980028,997391.415529231,997391.415529231,997391.415529231
2015-01-13,976163.1376929621,991117.9190101291,997258.2727068712,997258.2727068712,997258.2727068712
2015-01-14,973312.7579236882,989020.9623492345,995384.8299125801,995384.8299125801,995384.8299125801
2015-01-15,1008942.7781560041,1003754.3057153212,1010272.18714636,1010272.18714636,1010272.18714636
2015-01-16,1020344.3983899102,1010117.2491083913,1020375.9444082131,1020375.9444082131,1020375.9444082131
2015-01-19,889938.6186254062,962390.792528447,975970.8016981417,975970.8016981417,975970.8016981417
2015-01-20,933050.9388624924,977537.7359754903,990499.2590161479,990499.2590161479,990499.2590161479
2015-01-21,988277.4591011691,999569.8794495234,1014831.6163622339,1014831.6163622339,1014831.6163622339
2015-01-22,990415.279341436,1003060.2229505484,1014926.4737364019,1014926.4737364019,1014926.4737364019
2015-01-23,996472.3995832936,1008349.4664785672,1019065.931138654,1019065.931138654,1019065.931138654
2015-01-26,1008586.619826742,1012477.3100335824,1024239.1885689928,1024239.1885689928,1024239.1885689928
2015-01-27,995759.8400717812,1009243.0536155957,1019499.7460274199,1019499.7460274199,1019499.7460274199
2015-01-28,975450.7603184113,999516.6972246094,1012475.9035139382,1012475.9035139382,1012475.9035139382
2015-01-29,962267.6805666325,990612.6408606257,1004498.1610285494,1004498.1610285494,1004498.1610285494
2015-01-30,946946.8008164448,987372.8845236464,997249.3185712558,997249.3185712558,997249.3185712558
2015-02-02,919511.7210678485,972248.073593674,986140.7082420598,986140.7082420598,986140.7082420598
2015-02-03,947659.4413208436,984355.8811278949,997366.7154332297,997366.7154332297,997366.7154332297
2015-02-04,933763.7615754304,983546.5886627076,993296.2226249647,993296.2226249647,993296.2226249647
2015-02-05,919511.7818316089,976468.8961981126,987566.5298172649,987566.5298172649,987566.5298172649
2015-02-06,901696.802089379,970350.6037341098,979321.4370101303,979321.4370101303,979321.4370101303
2015-02-09,915236.2223487414,972047.3112706993,978180.9442035609,978180.9442035609,978180.9442035609
2015-02-10,939108.3426096956,976771.9188078808,984769.7513975567,984769.7513975567,984769.7513975567
2015-02-11,946946.9628722422,984766.1263456548,990253.3585921181,990253.3585921181,990253.3585921181
2015-02-12,951935.183136381,988088.5338840211,991771.8657872448,991771.8657872448,991771.8657872448
2015-02-13,959773.8034021124,998044.7414229799,1000466.3729829369,1000466.3729829369,1000466.3729829369
2015-02-16,970106.5236694362,1001446.648962531,1003145.6801791943,1003145.6801791943,1003145.6801791943
2015-02-17,981151.8439383529,1007005.8565026746,1008160.6873760176,1008160.6873760176,1008160.6873760176
2015-02-25,961911.6642088622,1005469.7640434108,1003698.794573406,1003698.794573406,1003698.794573406
2015-02-26,998610.5844809647,1018251.9715847396,1017310.8017713602,1017310.8017713602,1017310.8017713602
2015-02-27,996116.5047546602,1018496.4791266611,1017325.6089698802,1017325.6089698802,1017325.6089698802
2015-03-02,1006092.9250299488,1021573.2866691753,1021723.6161689658,1021723.6161689658,1021723.6161689658
2015-03-03,971175.5453068308,1015984.794212282,1012849.3233686171,1012849.3233686171,1012849.3233686171
2015-03-04,981508.2655853062,1017432.3017559816,1014317.6305688343,1014317.6305688343,1014317.6305688343
2015-03-05,970819.2858653754,1009647.7093002739,1006706.0377696172,1006706.0377696172,1006706.0377696172
2015-03-06,962980.7061470381,1009675.5168451593,1005289.2449709659,1005289.2449709659,1005289.2449709659
2015-03-09,987209.1264302947,1017885.1991306376,1012398.1776328806,1012398.1776328806,1012398.1776328806
2015-03-10,978301.6467151452,1014270.6011659191,1007486.6818825683,1007486.6818825683,1007486.6818825683
2015-03-11,980083.1670015899,1012889.5032013608,1008812.48613259,1008812.48613259,1008812.48613259
2015-03-12,1002886.3872896289,1023734.7052369624,1019804.2903829454,1019804.2903829454,1019804.2903829454
2015-03-13,1010012.4075792619,1027773.3072727239,1022506.4946336352,1022506.4946336352,1022506.4946336352
2015-03-16,1041723.1278704896,1037785.2093086455,1034199.5988846588,1034199.5988846588,1034199.5988846588
2015-03-17,1058469.2481633117,1048800.611344727,1043025.2031360165,1043025.2031360165,1043025.2031360165
2015-03-18,1093742.9684577286,1064235.8133809683,1058105.9073877083,1058105.9073877083,1058105.9073877083
2015-03-19,1086616.9887537404,1066172.0154173698,1059559.511639734,1059559.511639734,1059559.511639734
2015-03-20,1105857.2090513473,1072863.1174539316,1066307.9158920944,1066307.9158920944,1066307.9158920944
2015-03-23,1133648.629350549,1086161.6194906533,1080251.3201447884,1080251.3201447884,1080251.3201447884
2015-03-24,1132223.449651346,1087986.521527535,1083017.0243978167,1083017.0243978167,1083017.0243978167
2015-03-25,1123672.2699537382,1083293.2235645766,1078782.8286511796,1078782.8286511796,1078782.8286511796
2015-03-26,1124741.1902577262,1077064.0256017786,1075963.4329048765,1075963.4329048765,1075963.4329048765
2015-03-27,1135430.2105633097,1081236.5276391404,1080223.6371589077,1080223.6371589077,1080223.6371589077
2015-03-30,1180324.0308704886,1095346.6296766624,1093911.6414132733,1093911.6414132733,1093911.6414132733
2015-03-31,1164290.5511792635,1087495.6317143445,1084169.145667973,1084169.145667973,1084169.145667973
2015-04-01,1187806.3714896347,1095429.1337521868,1094057.9499230073,1094057.9499230073,1094057.9499230073
2015-04-02,1185668.5918016017,1100567.0357901892,1101010.754178376,1101010.754178376,1101010.754178376
2015-04-03,1209184.4121151648,1110385.6378283517,1110646.9584340788,1110646.9584340788,1110646.9584340788
2015-04-07,1235194.3324303245,1125227.1239866745,1125968.260930116,1121097.5869301162,1121745.3778501162
2015-04-08,1247308.5527470806,1129855.4838381899,1131105.7454523481,1120272.8005137802,1121039.6927159852
2015-04-09,1236263.2730654331,1128332.7437022673,1127688.5299890805,1123786.8141299458,1124696.007590881
2015-04-10,1271536.9933853825,1141708.2035789078,1140115.4145403153,1130598.2277786154,1132099.4224748043
2015-04-13,1297190.6137069287,1149068.563468112,1148171.7991060526,1129527.6414597915,1131011.0373677555
2015-04-14,1297903.2340300716,1150533.523369881,1148684.2836862942,1127074.5551734767,1128557.6522697357
2015-04-15,1284720.154354812,1146879.283284216,1144318.7682810407,1124835.4689196732,1125917.2671807455
2015-04-16,1335671.0746811498,1164969.5432111179,1162928.6528902939,1134683.0826983845,1136204.8821007856
2015-04-17,1363462.4950090845,1175422.6031505875,1173570.7375140544,1138515.0965096122,1140354.4970298565
2015-04-20,1327832.5153386167,1158316.763102626,1160047.8221523236,1131278.7103533593,1132612.2119679593
2015-04-21,1361681.0356697466,1172129.1230672342,1170997.3068051026,1139115.6242296286,1141017.8269150946
2015-04-22,1406218.5560024742,1188876.8830444135,1188578.1914723928,1147966.138138422,1150772.241871263
2015-04-23,1404437.0763367997,1190257.9430341644,1187912.3761541946,1147829.5520797425,1150660.9568364648
2015-04-24,1398379.996672723,1186692.203036488,1183360.8608505097,1148568.0660535926,1150992.3718107014
2015-04-27,1432941.1170102446,1201577.9630513857,1195473.1455613396,1155637.6800599748,1158484.8867939732
2015-04-28,1410850.5373493643,1191161.4230788578,1187466.8302866844,1151193.3940988916,1153481.1017862812
2015-04-29,1420114.3576900824,1193178.3831189058,1190242.8150265464,1155083.7081703458,1157694.4167876255
2015-04-30,1416551.3780323989,1191710.6431715307,1189366.9997809257,1155301.5222743396,1158094.0317980074
2015-05-04,1425815.198376314,1195583.1032367332,1191862.784549824,1152858.0364108759,1155910.0468174275
2015-05-05,1361324.918721828,1173365.6633145143,1168929.5693332425,1142418.4505799569,1144098.061845886
2015-05-06,1344222.5390689406,1158512.056704875,1156453.159891182,1132612.5718215855,1134119.7710633844
2015-05-07,1316074.8594176522,1146446.3597623175,1142736.4906035776,1126300.0864833212,1127397.4723813373
2015-05-08,1340659.5797679632,1159630.8628671512,1155336.8213576786,1137353.4011462093,1138924.073699394
2015-05-11,1393748.3001198731,1178353.6660193799,1173695.8521534891,1149181.0158102494,1151605.2750175542
2015-05-12,1412988.5204733827,1184051.969219007,1179458.8829910122,1150889.730475442,1153662.476335818
2015-05-13,1397311.3408284916,1178475.8724660368,1174936.0138702511,1149052.845141787,1151726.3776541855
2015-05-14,1393392.0611852,1180242.0757604728,1179338.6447912094,1151695.959809285,1154199.7789726565
2015-05-15,1362750.2815435082,1174684.9791023186,1172948.7757538897,1152656.674477935,1154724.6802912308
2015-05-18,1350636.1019034162,1169123.7824915778,1169683.0067582957,1153334.189147738,1155261.7816099091
2015-05-19,1406575.2222649243,1185191.8859282543,1183865.137804431,1159493.503818694,1162252.182928691
2015-05-20,1414413.8426280324,1186313.789412352,1183458.7688922982,1158437.5184908027,1161531.2842475765
2015-05-21,1448974.9629927408,1198490.2929438744,1195527.1000219008,1165210.2331640644,1169086.9855665655
2015-05-22,1486030.1833590495,1213270.7965228255,1209507.0311932426,1173174.9478384792,1177546.8868856584
2015-05-25,1541613.0037269585,1230664.8001492084,1227891.8624063262,1182535.5625140474,1187392.9882048548
2015-05-26,1568335.5240964685,1237763.4038230276,1234324.193661155,1186359.5771907687,1191894.589524155
2015-05-27,1568335.544467579,1235152.9075442862,1231606.3249577328,1183091.9918686433,1188828.1908435586
2015-05-28,1443630.5648402907,1204065.4113129883,1198551.456296062,1168474.0065476715,1172668.892163066
2015-05-29,1444699.4852146034,1198017.8151291378,1191930.387676147,1165944.421227853,1170307.6934826772
2015-06-01,1534487.1055905167,1226278.2189927378,1221473.8190979902,1177243.5359091887,1183150.994802392
2015-06-02,1565128.9259680316,1236207.8229037924,1230639.350561595,1182529.6505916778,1189064.6961222107
2015-06-03,1549808.0463471478,1233918.9790823057,1228737.5861469652,1181532.7095953205,1187687.290402133
2015-06-04,1570473.4667278654,1242485.5809398182,1235776.664005853,1184779.7978842729,1191207.446532619
2015-06-05,1573323.8871101844,1250129.6828367694,1244099.9418944349,1188314.586203739,1195055.0026910913
2015-06-08,1618574.0074941053,1262366.084773162,1256520.1198127132,1190787.0745537211,1197654.4588775523
